age,workclass,fnlwgt,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
31,Private,84154,10,Married,Other,Husband,White,Male,0,0,38,US,1
48,Non-Private,265477,12,Married,Managerial-Specialist,Husband,White,Male,0,0,40,US,0
31,Private,507875,5,Married,Managerial-Specialist,Husband,White,Male,0,0,43,US,0
53,Non-Private,88506,13,Married,Managerial-Specialist,Husband,White,Male,0,0,40,US,0
24,Private,172987,13,Married,Other,Husband,White,Male,0,0,50,US,0
49,Private,94638,9,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,40,US,0
25,Private,289980,9,Non-Married,Other,Non-Husband,White,Male,0,0,35,US,0
57,Non-Private,337895,13,Married,Managerial-Specialist,Husband,Non-White,Male,0,0,40,US,1
53,Private,144361,9,Married,Managerial-Specialist,Husband,White,Male,0,0,38,US,0
44,Private,128354,14,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,40,US,0
41,Non-Private,101603,11,Married,Other,Husband,White,Male,0,0,40,US,0
29,Private,271466,11,Non-Married,Managerial-Specialist,Non-Husband,White,Male,0,0,43,US,0
25,Private,32275,10,Married,Managerial-Specialist,Non-Husband,Non-White,Female,0,0,40,US,0
18,Private,226956,9,Non-Married,Other,Non-Husband,White,Female,0,0,30,US,0
47,Private,51835,15,Married,Managerial-Specialist,Non-Husband,White,Female,0,1902,60,Non-US,1
50,Non-Private,251585,13,Non-Married,Managerial-Specialist,Non-Husband,White,Male,0,0,55,US,1
47,Non-Private,109832,9,Non-Married,Managerial-Specialist,Non-Husband,White,Male,0,0,60,US,0
43,Private,237993,10,Married,Other,Husband,White,Male,0,0,40,US,1
46,Private,216666,3,Married,Managerial-Specialist,Husband,White,Male,0,0,40,Non-US,0
35,Private,56352,11,Married,Other,Husband,White,Male,0,0,40,Non-US,0
41,Private,147372,9,Married,Managerial-Specialist,Husband,White,Male,0,0,48,US,0
30,Private,188146,9,Married,Managerial-Specialist,Husband,White,Male,5013,0,40,US,0
30,Private,59496,13,Married,Other,Husband,White,Male,2407,0,40,US,0
32,Private,293936,4,Non-Married,Other,Non-Husband,White,Male,0,0,40,US,0
48,Private,149640,9,Married,Other,Husband,White,Male,0,0,40,US,0
42,Private,116632,16,Married,Managerial-Specialist,Husband,White,Male,0,0,45,US,1
29,Private,105598,10,Non-Married,Other,Non-Husband,White,Male,0,0,58,US,0
36,Private,155537,9,Married,Other,Husband,White,Male,0,0,40,US,0
28,Private,183175,10,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,40,US,0
53,Private,169846,9,Married,Managerial-Specialist,Non-Husband,White,Female,0,0,40,US,1
49,Non-Private,191681,10,Married,Managerial-Specialist,Husband,White,Male,0,0,50,US,1
25,Non-Private,200681,10,Non-Married,Managerial-Specialist,Non-Husband,White,Male,0,0,40,US,0
19,Private,101509,10,Non-Married,Managerial-Specialist,Non-Husband,White,Male,0,0,32,US,0
31,Private,309974,13,Non-Married,Other,Non-Husband,Non-White,Female,0,0,40,US,0
29,Non-Private,162298,13,Married,Other,Husband,White,Male,0,0,70,US,1
23,Private,211678,10,Non-Married,Managerial-Specialist,Non-Husband,White,Male,0,0,40,US,0
79,Private,124744,10,Married,Managerial-Specialist,Non-Husband,White,Male,0,0,20,US,0
27,Private,213921,9,Non-Married,Other,Non-Husband,White,Male,0,0,40,Non-US,0
40,Private,32214,12,Married,Managerial-Specialist,Husband,White,Male,0,0,40,US,0
67,Private,212759,6,Married,Managerial-Specialist,Husband,White,Male,0,0,2,US,0
18,Private,309634,7,Non-Married,Other,Non-Husband,White,Female,0,0,22,US,0
31,Non-Private,125927,4,Married,Other,Husband,White,Male,0,0,40,US,0
18,Private,446839,9,Non-Married,Other,Non-Husband,White,Male,0,0,30,US,0
52,Private,276515,13,Married,Other,Husband,White,Male,0,0,40,Non-US,0
46,Private,51618,9,Married,Other,Non-Husband,White,Female,0,0,40,US,0
59,Private,159937,9,Married,Other,Husband,White,Male,0,0,48,US,0
44,Private,343591,9,Non-Married,Other,Non-Husband,White,Female,14344,0,40,US,1
53,Private,346253,9,Non-Married,Other,Non-Husband,White,Female,0,0,35,US,0
49,Non-Private,268234,9,Married,Other,Husband,White,Male,0,0,40,US,1
33,Private,202051,14,Married,Managerial-Specialist,Husband,White,Male,0,0,50,US,0
30,Private,54334,5,Non-Married,Other,Non-Husband,White,Male,0,0,40,US,0
43,Non-Private,410867,16,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,50,US,1
57,Private,249977,11,Married,Managerial-Specialist,Husband,White,Male,0,0,40,US,0
37,Private,286730,10,Non-Married,Other,Non-Husband,White,Female,0,0,40,US,0
28,Private,212563,10,Non-Married,Managerial-Specialist,Non-Husband,Non-White,Female,0,0,25,US,0
30,Private,117747,9,Married,Other,Non-Husband,Non-White,Female,0,1573,35,US,0
34,Non-Private,226296,13,Married,Other,Husband,White,Male,0,0,40,US,1
29,Non-Private,115585,10,Non-Married,Other,Non-Husband,White,Male,0,0,50,US,0
48,Non-Private,191277,16,Married,Managerial-Specialist,Husband,White,Male,0,1902,60,US,1
37,Private,202683,10,Married,Other,Husband,White,Male,0,0,48,US,1
48,Private,171095,12,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,40,Non-US,0
32,Non-Private,249409,9,Non-Married,Other,Non-Husband,Non-White,Male,0,0,40,US,0
76,Private,124191,14,Married,Managerial-Specialist,Husband,White,Male,0,0,40,US,1
44,Private,198282,13,Married,Managerial-Specialist,Husband,White,Male,15024,0,60,US,1
47,Non-Private,149116,14,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,50,US,0
20,Private,188300,10,Non-Married,Other,Non-Husband,White,Female,0,0,40,US,0
29,Private,103432,9,Non-Married,Other,Non-Husband,White,Male,0,0,40,US,0
32,Non-Private,317660,9,Married,Other,Husband,White,Male,7688,0,40,US,1
17,Non-Private,304873,6,Non-Married,Other,Non-Husband,White,Female,34095,0,32,US,0
30,Private,194901,7,Non-Married,Other,Non-Husband,White,Male,0,0,40,US,0
31,Non-Private,189265,9,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,40,US,0
42,Private,124692,9,Married,Other,Husband,White,Male,0,0,40,US,0
24,Private,432376,13,Non-Married,Other,Non-Husband,White,Male,0,0,40,US,0
38,Private,65324,15,Married,Managerial-Specialist,Husband,White,Male,0,0,40,US,1
56,Non-Private,335605,9,Married,Other,Husband,White,Male,0,1887,50,Non-US,1
28,Private,377869,10,Married,Other,Non-Husband,White,Female,4064,0,25,US,0
36,Private,102864,9,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,40,US,0
53,Private,95647,5,Married,Other,Husband,White,Male,0,0,50,US,0
56,Non-Private,303090,10,Married,Other,Husband,White,Male,0,0,50,US,0
49,Non-Private,197371,11,Married,Other,Husband,Non-White,Male,0,0,40,US,1
55,Private,247552,10,Married,Other,Husband,White,Male,0,0,56,US,0
22,Private,102632,9,Non-Married,Other,Non-Husband,White,Male,0,0,41,US,0
21,Private,199915,10,Non-Married,Other,Non-Husband,White,Female,0,0,40,US,0
40,Private,118853,13,Married,Managerial-Specialist,Husband,White,Male,0,0,60,US,0
30,Private,77143,13,Non-Married,Managerial-Specialist,Non-Husband,Non-White,Male,0,0,40,Non-US,0
29,Non-Private,267989,13,Married,Managerial-Specialist,Husband,White,Male,0,0,50,US,1
19,Private,301606,10,Non-Married,Other,Non-Husband,Non-White,Male,0,0,35,US,0
47,Private,287828,13,Married,Managerial-Specialist,Non-Husband,White,Female,0,0,40,US,1
20,Private,111697,10,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,1719,28,US,0
31,Private,114937,12,Married,Managerial-Specialist,Husband,White,Male,0,0,40,US,1
35,Private,129305,9,Married,Managerial-Specialist,Husband,White,Male,0,0,40,US,0
39,Private,365739,10,Non-Married,Other,Non-Husband,White,Male,0,0,40,US,0
28,Private,69621,12,Non-Married,Other,Non-Husband,White,Female,0,0,60,US,0
24,Private,43323,9,Non-Married,Other,Non-Husband,White,Female,0,1762,40,US,0
38,Non-Private,120985,9,Married,Other,Husband,White,Male,4386,0,35,US,0
37,Private,254202,13,Married,Other,Husband,White,Male,0,0,50,US,0
46,Private,146195,12,Non-Married,Other,Non-Husband,Non-White,Female,0,0,36,US,0
38,Non-Private,125933,14,Married,Managerial-Specialist,Husband,White,Male,0,0,40,Non-US,1
43,Non-Private,56920,9,Married,Other,Husband,White,Male,0,0,60,US,0
27,Private,163127,11,Married,Managerial-Specialist,Non-Husband,White,Female,0,0,35,US,0
20,Private,34310,10,Non-Married,Other,Non-Husband,White,Male,0,0,20,US,0
49,Private,81973,10,Married,Other,Husband,Non-White,Male,0,0,40,US,1
61,Non-Private,66614,9,Married,Other,Husband,White,Male,0,0,40,US,0
27,Private,232782,10,Non-Married,Other,Non-Husband,White,Female,0,0,40,US,0
19,Private,316868,10,Non-Married,Other,Non-Husband,White,Male,0,0,30,Non-US,0
45,Private,196584,11,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,1564,40,US,1
70,Private,105376,10,Non-Married,Other,Non-Husband,White,Male,0,0,40,US,0
31,Private,185814,9,Non-Married,Other,Non-Husband,Non-White,Female,0,0,30,US,0
22,Private,175374,10,Married,Other,Husband,White,Male,0,0,24,US,0
36,Private,108293,9,Non-Married,Other,Non-Husband,White,Female,0,0,24,US,0
64,Private,181232,7,Married,Other,Husband,White,Male,0,2179,40,US,0
43,Private,174662,10,Non-Married,Other,Non-Husband,White,Female,0,0,40,US,0
47,Non-Private,186009,10,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,38,Non-US,0
34,Private,198183,9,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,40,US,0
33,Private,163003,13,Non-Married,Managerial-Specialist,Non-Husband,Non-White,Female,0,0,40,Non-US,0
21,Private,296158,9,Non-Married,Other,Non-Husband,White,Male,0,0,35,US,0
52,Private,252903,9,Non-Married,Other,Non-Husband,White,Male,0,0,45,US,1
48,Private,187715,9,Married,Other,Husband,White,Male,0,0,46,US,0
23,Private,214542,13,Non-Married,Other,Non-Husband,White,Male,0,0,40,US,0
71,Non-Private,494223,10,Non-Married,Other,Non-Husband,Non-White,Male,0,1816,2,US,0
29,Private,191535,9,Non-Married,Other,Non-Husband,White,Male,0,0,60,US,0
42,Private,228456,13,Non-Married,Other,Non-Husband,Non-White,Male,0,0,50,US,0
68,Private,38317,2,Non-Married,Other,Non-Husband,White,Female,0,0,20,US,0
25,Private,252752,9,Non-Married,Other,Non-Husband,White,Female,0,0,40,US,0
44,Non-Private,78374,14,Non-Married,Managerial-Specialist,Non-Husband,Non-White,Female,0,0,40,US,0
28,Private,88419,9,Non-Married,Managerial-Specialist,Non-Husband,Non-White,Female,0,0,40,Non-US,0
45,Non-Private,201080,14,Married,Other,Husband,White,Male,0,0,40,US,1
36,Private,207157,10,Non-Married,Other,Non-Husband,White,Female,0,0,40,Non-US,0
39,Non-Private,235485,12,Non-Married,Managerial-Specialist,Non-Husband,White,Male,0,0,42,US,0
46,Non-Private,102628,14,Non-Married,Other,Non-Husband,White,Male,0,0,40,US,0
18,Private,25828,7,Non-Married,Other,Non-Husband,White,Male,0,0,16,US,0
66,Non-Private,54826,11,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,20,US,0
27,Private,124953,9,Non-Married,Other,Non-Husband,White,Male,0,1980,40,US,0
28,Non-Private,175325,9,Married,Other,Husband,White,Male,0,0,40,US,0
51,Private,96062,10,Married,Other,Husband,White,Male,0,1977,40,US,1
27,Private,428030,13,Non-Married,Other,Non-Husband,White,Male,0,0,50,US,0
28,Non-Private,149624,13,Married,Managerial-Specialist,Husband,White,Male,0,0,40,US,1
27,Private,253814,9,Non-Married,Other,Non-Husband,White,Female,0,0,25,US,0
21,Private,312956,9,Non-Married,Other,Non-Husband,Non-White,Male,0,0,40,US,0
34,Private,483777,9,Non-Married,Other,Non-Husband,Non-White,Male,0,0,40,US,0
18,Private,183930,9,Non-Married,Other,Non-Husband,White,Male,0,0,12,US,0
33,Private,37274,13,Married,Managerial-Specialist,Husband,White,Male,0,0,65,US,0
44,Non-Private,181344,10,Married,Managerial-Specialist,Husband,Non-White,Male,0,0,38,US,1
43,Private,114580,10,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,40,US,0
30,Private,633742,10,Non-Married,Other,Non-Husband,Non-White,Male,0,0,45,US,0
40,Private,286370,4,Married,Managerial-Specialist,Husband,White,Male,0,0,40,Non-US,1
37,Non-Private,29054,10,Married,Managerial-Specialist,Husband,White,Male,0,0,42,US,1
34,Private,304030,9,Married,Managerial-Specialist,Husband,Non-White,Male,0,0,40,US,0
41,Non-Private,143129,13,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,40,US,0
53,Non-Private,135105,13,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,50,US,0
31,Private,99928,14,Married,Managerial-Specialist,Non-Husband,White,Female,0,0,50,US,0
58,Non-Private,109567,16,Married,Managerial-Specialist,Husband,White,Male,0,0,1,US,1
38,Private,155222,10,Non-Married,Managerial-Specialist,Non-Husband,Non-White,Female,0,0,28,US,0
24,Private,159567,10,Married,Managerial-Specialist,Husband,White,Male,0,0,40,US,0
41,Non-Private,523910,13,Married,Other,Husband,Non-White,Male,0,0,40,US,0
47,Private,120939,10,Married,Other,Husband,White,Male,0,0,45,US,0
41,Non-Private,130760,13,Married,Other,Husband,White,Male,0,0,24,US,0
23,Private,197387,3,Married,Other,Non-Husband,White,Male,0,0,40,Non-US,0
36,Private,99374,10,Non-Married,Other,Non-Husband,White,Male,0,0,40,US,0
40,Non-Private,56795,14,Non-Married,Managerial-Specialist,Non-Husband,White,Female,14084,0,55,US,1
35,Private,138992,14,Married,Managerial-Specialist,Non-Husband,White,Male,7298,0,40,US,1
24,Non-Private,32921,9,Non-Married,Other,Non-Husband,White,Male,0,0,40,US,0
26,Private,397317,14,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,1876,40,US,0
19,Private,170653,9,Non-Married,Managerial-Specialist,Non-Husband,White,Male,0,0,40,Non-US,0
51,Private,259323,13,Married,Managerial-Specialist,Husband,White,Male,0,0,50,US,1
42,Non-Private,254817,10,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,1340,40,US,0
37,Non-Private,48211,9,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,35,US,0
18,Private,140164,7,Non-Married,Other,Non-Husband,White,Female,0,0,40,US,0
36,Private,128757,13,Married,Other,Husband,Non-White,Male,7298,0,36,US,1
35,Private,36270,9,Non-Married,Other,Non-Husband,White,Male,0,0,60,US,0
58,Non-Private,210563,9,Married,Other,Non-Husband,White,Female,15024,0,35,US,1
17,Private,65368,7,Non-Married,Other,Non-Husband,White,Female,0,0,12,US,0
44,Non-Private,160943,9,Married,Other,Husband,Non-White,Male,0,0,40,US,0
37,Private,208358,9,Married,Other,Husband,White,Male,0,0,40,US,1
35,Private,153790,10,Non-Married,Other,Non-Husband,Non-White,Female,0,0,40,US,0
60,Private,85815,9,Married,Other,Husband,Non-White,Male,0,0,40,US,0
54,Non-Private,125417,4,Married,Managerial-Specialist,Husband,White,Male,0,0,40,US,1
37,Private,635913,13,Non-Married,Managerial-Specialist,Non-Husband,Non-White,Male,0,0,60,US,1
50,Private,313321,12,Non-Married,Other,Non-Husband,White,Female,0,0,40,US,0
38,Private,182609,13,Married,Other,Husband,White,Male,0,0,50,Non-US,0
45,Private,109434,13,Married,Managerial-Specialist,Husband,White,Male,0,0,55,US,0
25,Private,255004,6,Non-Married,Other,Non-Husband,White,Male,0,0,40,US,0
31,Private,197860,10,Married,Other,Husband,White,Male,0,0,40,US,0
64,Private,187656,2,Non-Married,Other,Non-Husband,White,Male,0,0,40,US,0
90,Private,51744,9,Non-Married,Other,Non-Husband,Non-White,Male,0,2206,40,US,0
54,Private,176681,9,Married,Managerial-Specialist,Husband,Non-White,Male,0,0,20,US,0
53,Non-Private,140359,1,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,35,US,0
18,Private,243313,9,Non-Married,Other,Non-Husband,White,Female,0,0,40,US,0
60,Private,24215,6,Non-Married,Other,Non-Husband,Non-White,Female,0,0,10,US,0
66,Non-Private,167687,9,Married,Other,Husband,White,Male,1409,0,50,US,0
75,Private,314209,11,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,20,Non-US,0
65,Private,176796,9,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,40,US,0
35,Private,538583,7,Non-Married,Other,Non-Husband,Non-White,Male,3674,0,40,US,0
41,Private,130408,9,Non-Married,Other,Non-Husband,Non-White,Female,0,0,38,US,0
25,Private,159732,10,Non-Married,Managerial-Specialist,Non-Husband,White,Male,0,0,42,US,0
33,Private,110978,10,Non-Married,Other,Non-Husband,Non-White,Female,0,0,40,US,0
28,Private,76714,15,Non-Married,Managerial-Specialist,Non-Husband,White,Male,0,0,55,US,1
59,Non-Private,268700,9,Married,Other,Husband,White,Male,0,0,40,US,0
40,Non-Private,170525,10,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,38,US,0
41,Private,180138,13,Married,Managerial-Specialist,Husband,White,Male,0,0,50,Non-US,1
38,Non-Private,115076,14,Married,Managerial-Specialist,Husband,White,Male,0,0,70,US,1
23,Private,115458,9,Non-Married,Other,Non-Husband,White,Male,0,0,40,US,0
40,Private,347890,13,Married,Managerial-Specialist,Husband,White,Male,0,0,40,US,1
41,Non-Private,196001,9,Married,Other,Non-Husband,White,Female,0,0,20,US,0
24,Non-Private,273905,12,Married,Other,Husband,White,Male,0,0,50,US,0
20,Non-Private,119156,10,Non-Married,Other,Non-Husband,White,Male,0,0,20,US,0
38,Private,179488,10,Non-Married,Other,Non-Husband,White,Male,0,1741,40,US,0
56,Private,203580,9,Married,Managerial-Specialist,Husband,White,Male,0,0,35,US,0
58,Private,236596,9,Married,Managerial-Specialist,Husband,White,Male,0,0,45,US,1
32,Private,183916,9,Non-Married,Other,Non-Husband,White,Female,0,0,34,US,0
40,Private,207578,12,Married,Other,Husband,White,Male,0,1977,60,US,1
45,Private,153141,9,Married,Managerial-Specialist,Husband,White,Male,0,0,40,US,0
41,Private,112763,15,Married,Managerial-Specialist,Non-Husband,White,Female,0,0,40,US,1
42,Private,390781,13,Married,Managerial-Specialist,Non-Husband,Non-White,Female,0,0,40,US,0
59,Non-Private,171328,6,Non-Married,Other,Non-Husband,Non-White,Female,0,0,30,US,0
19,Non-Private,27382,10,Non-Married,Managerial-Specialist,Non-Husband,White,Male,0,0,40,US,0
58,Private,259014,10,Non-Married,Other,Non-Husband,White,Male,0,0,20,US,0
42,Non-Private,303044,9,Married,Other,Husband,Non-White,Male,0,0,40,Non-US,1
20,Private,117789,9,Non-Married,Other,Non-Husband,White,Female,0,0,40,US,0
32,Private,172579,9,Non-Married,Other,Non-Husband,White,Female,0,0,30,US,0
45,Private,187666,11,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,45,US,0
50,Private,204518,4,Non-Married,Other,Non-Husband,White,Male,0,0,40,US,0
36,Private,150042,13,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,40,US,0
45,Private,98092,9,Married,Other,Husband,White,Male,0,0,60,US,0
17,Private,245918,7,Non-Married,Other,Non-Husband,White,Male,0,0,12,US,0
59,Private,146013,10,Married,Other,Husband,White,Male,4064,0,40,US,0
26,Private,378322,7,Married,Other,Husband,White,Male,0,0,40,US,0
37,Non-Private,257295,10,Married,Managerial-Specialist,Husband,Non-White,Male,0,0,75,Non-US,1
19,Non-Private,218956,10,Non-Married,Managerial-Specialist,Non-Husband,White,Male,0,0,24,Non-US,0
64,Private,21174,9,Married,Managerial-Specialist,Husband,White,Male,0,0,40,US,1
33,Private,185480,13,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,45,US,0
33,Private,222205,9,Married,Other,Non-Husband,White,Female,0,0,40,US,1
61,Private,69867,9,Married,Managerial-Specialist,Husband,White,Male,0,0,40,US,1
17,Private,191260,5,Non-Married,Other,Non-Husband,White,Male,1055,0,24,US,0
50,Non-Private,30653,14,Married,Other,Husband,White,Male,2407,0,98,US,0
27,Non-Private,209109,14,Non-Married,Managerial-Specialist,Non-Husband,White,Male,0,0,35,US,0
30,Private,70377,9,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,40,US,0
43,Private,477983,9,Married,Other,Husband,Non-White,Male,0,0,40,US,0
44,Private,170924,10,Married,Other,Husband,White,Male,7298,0,40,US,1
35,Private,190174,10,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,40,US,0
25,Private,193787,10,Non-Married,Other,Non-Husband,White,Female,0,0,40,US,0
24,Private,279472,10,Married,Managerial-Specialist,Non-Husband,White,Female,7298,0,48,US,1
22,Private,34918,13,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,15,Non-US,0
42,Non-Private,97688,10,Married,Other,Husband,White,Male,5178,0,40,US,1
34,Private,175413,12,Non-Married,Other,Non-Husband,Non-White,Female,0,0,45,US,0
60,Private,173960,13,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,42,US,0
21,Private,205759,9,Non-Married,Other,Non-Husband,White,Male,0,0,40,US,0
57,Non-Private,425161,14,Married,Other,Husband,White,Male,15024,0,40,US,1
41,Private,220531,15,Married,Managerial-Specialist,Husband,White,Male,0,0,60,US,1
50,Private,176609,10,Non-Married,Other,Non-Husband,White,Male,0,0,45,US,0
25,Private,371987,13,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,40,US,0
50,Private,193884,4,Married,Other,Husband,White,Male,0,0,40,Non-US,0
36,Private,200352,13,Married,Managerial-Specialist,Husband,White,Male,0,0,45,US,0
31,Private,127595,9,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,40,US,0
29,Non-Private,220419,13,Non-Married,Other,Non-Husband,White,Male,0,0,56,US,0
21,Private,231931,10,Non-Married,Other,Non-Husband,White,Male,0,0,45,US,0
27,Private,248402,13,Non-Married,Other,Non-Husband,Non-White,Female,0,0,40,US,0
65,Private,111095,9,Married,Other,Husband,White,Male,0,0,16,US,0
37,Non-Private,57424,13,Non-Married,Other,Non-Husband,White,Female,0,0,60,US,0
39,Non-Private,157443,14,Married,Other,Non-Husband,Non-White,Female,3464,0,40,US,0
24,Private,278130,9,Non-Married,Other,Non-Husband,White,Male,0,0,40,US,0
38,Private,169469,9,Non-Married,Other,Non-Husband,White,Male,0,0,80,US,0
48,Private,146268,13,Married,Managerial-Specialist,Husband,White,Male,7688,0,40,US,1
21,Private,153718,10,Non-Married,Other,Non-Husband,Non-White,Female,0,0,25,US,0
31,Private,217460,9,Married,Other,Husband,White,Male,0,0,45,US,1
55,Private,238638,9,Married,Other,Husband,White,Male,4386,0,40,US,1
24,Private,303296,10,Married,Managerial-Specialist,Non-Husband,Non-White,Female,0,0,40,Non-US,0
43,Private,173321,9,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,40,US,0
26,Private,193945,12,Non-Married,Other,Non-Husband,White,Male,0,0,45,US,0
46,Private,83082,12,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,33,US,0
35,Private,193815,12,Married,Managerial-Specialist,Husband,White,Male,0,0,40,US,1
41,Non-Private,34987,10,Married,Other,Husband,White,Male,0,0,54,US,1
26,Private,59306,13,Non-Married,Other,Non-Husband,White,Male,0,0,40,US,0
34,Private,142897,14,Married,Managerial-Specialist,Husband,Non-White,Male,7298,0,35,Non-US,1
19,Private,860348,10,Non-Married,Managerial-Specialist,Non-Husband,Non-White,Female,0,0,25,US,0
36,Non-Private,205607,13,Non-Married,Managerial-Specialist,Non-Husband,Non-White,Female,0,0,40,US,1
22,Private,199698,10,Non-Married,Other,Non-Husband,White,Male,0,0,15,US,0
24,Private,191954,10,Non-Married,Managerial-Specialist,Non-Husband,White,Male,0,0,40,US,0
77,Non-Private,138714,10,Married,Other,Husband,White,Male,0,0,40,US,0
22,Private,399087,3,Married,Managerial-Specialist,Non-Husband,White,Female,0,0,40,Non-US,0
29,Private,423158,10,Non-Married,Other,Non-Husband,White,Female,0,0,40,US,0
62,Private,159841,9,Non-Married,Other,Non-Husband,White,Female,0,0,24,US,0
